,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
635,Moon,-2009,97 min,7.8,67,"351,811",$5.01M,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
636,The Hobbit: The Desolation of Smaug,-2013,161 min,7.8,66,"638,694",$258.37M,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
637,Das weiße Band - Eine deutsche Kindergeschichte,-2009,144 min,7.8,82,"72,445",$2.22M,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?"
638,Män som hatar kvinnor,-2009,152 min,7.8,76,"214,981",$10.10M,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
639,Skyfall,-2012,143 min,7.8,81,"681,097",$304.36M,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
640,The Trial of the Chicago 7,-2020,129 min,7.8,76,"168,690",N/A,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
641,The Fighter,(I) (2010),116 min,7.8,79,"357,881",$93.62M,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
642,Taken,(I) (2008),90 min,7.8,51,"590,556",$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
643,The Boy in the Striped Pyjamas,-2008,94 min,7.8,55,"210,360",$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
644,Once,(I) (2007),86 min,7.8,88,"115,251",$9.44M,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story."
645,The Hobbit: An Unexpected Journey,-2012,169 min,7.8,58,"799,223",$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
646,Auf der anderen Seite,-2007,122 min,7.8,85,"31,864",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
647,Changeling,-2008,141 min,7.8,63,"251,281",$35.74M,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.
648,Atonement,-2007,123 min,7.8,85,"270,316",$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
649,Drive,(I) (2011),100 min,7.8,78,"612,206",$35.06M,"An action drama about a mysterious Hollywood stuntman and mechanic who moonlights as a getaway driver, and finds himself in trouble when he helps out his neighbor."
650,American Gangster,-2007,157 min,7.8,76,"416,416",$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
651,Mr. Nobody,-2009,141 min,7.8,63,"228,771",$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
652,Apocalypto,-2006,139 min,7.8,68,"305,876",$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
653,The Fall,-2006,117 min,7.8,64,"111,091",$2.28M,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
654,Little Miss Sunshine,-2006,101 min,7.8,80,"465,505",$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
655,Hot Fuzz,-2007,121 min,7.8,81,"492,660",$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
656,The Curious Case of Benjamin Button,-2008,166 min,7.8,70,"630,423",$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
657,Pride & Prejudice,-2005,129 min,7.8,82,"284,450",$38.41M,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
658,The World's Fastest Indian,-2005,127 min,7.8,68,"54,130",$5.13M,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967."
659,Tangled,-2010,100 min,7.8,71,"436,355",$200.82M,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
660,Tôkyô goddofâzâzu,-2003,90 min,7.8,73,"38,183",$0.13M,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents."
661,Serenity,-2005,119 min,7.8,74,"292,827",$25.51M,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.
662,Crash,(I) (2004),112 min,7.8,66,"431,759",$54.58M,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
663,Walk the Line,-2005,136 min,7.8,72,"246,041",$119.52M,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
664,Ondskan,-2003,113 min,7.8,61,"37,864",$0.02M,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
665,The Notebook,-2004,123 min,7.8,53,"554,531",$81.00M,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences."
666,The Last Samurai,-2003,154 min,7.8,55,"425,905",$111.11M,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
667,Diarios de motocicleta,-2004,126 min,7.8,75,"100,255",$16.76M,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.
668,Lilja 4-ever,-2002,109 min,7.8,82,"45,024",$0.18M,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life."
669,Sennen joyû,-2001,87 min,7.8,70,"26,851",$0.19M,A TV interviewer and his cameraman meet a former actress and travel through her memories and career.
670,Les triplettes de Belleville,-2003,80 min,7.8,91,"53,903",$7.00M,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
671,Cowboy Bebop: Tengoku no tobira,-2001,115 min,7.8,61,"47,465",$1.00M,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit."
672,Gongdong gyeongbi guyeok JSA,-2000,110 min,7.8,58,"29,287",N/A,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened."
673,Remember the Titans,-2000,113 min,7.8,48,"210,085",$115.65M,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
674,Todo sobre mi madre,-1999,101 min,7.8,87,"94,927",$8.26M,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela."
675,Cast Away,-2000,143 min,7.8,73,"571,228",$233.63M,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
676,The Insider,-1999,157 min,7.8,84,"168,453",$28.97M,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
677,October Sky,-1999,108 min,7.8,71,"88,836",$32.48M,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes."
678,Being John Malkovich,-1999,113 min,7.8,90,"328,428",$22.86M,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
679,Gattaca,-1997,106 min,7.8,64,"295,977",$12.34M,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
680,The Game,-1997,129 min,7.8,61,"380,247",$48.32M,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
681,Hamlet,-1996,242 min,7.8,N/A,"37,717",$4.41M,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
682,Breaking the Waves,-1996,159 min,7.8,76,"65,791",$4.04M,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another."
683,Il postino,-1994,108 min,7.8,81,"35,894",$21.85M,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
684,What's Eating Gilbert Grape,-1993,118 min,7.8,73,"230,542",$9.17M,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
685,Tombstone,-1993,130 min,7.8,50,"142,243",$56.51M,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
686,The Sandlot,-1993,101 min,7.8,55,"87,999",$32.42M,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
